"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Toxicity"
"2442","Pancreatic cancer","1/76",0.469866714630619,0.687884870219226,0,0,1.59668686868687,1.20598750796483,"BCL2L1","High"
"2443","Pertussis","1/76",0.469866714630619,0.687884870219226,0,0,1.59668686868687,1.20598750796483,"CALM2","High"
"2444","Synaptic vesicle cycle","1/78",0.478663896080163,0.695202325259284,0,0,1.55505706414797,1.14569856501686,"STX3","High"
"2445","Peroxisome","1/82",0.495825283240414,0.713147383669941,0,0,1.47796483352039,1.03683913171808,"SOD2","High"
"2446","Epstein-Barr virus infection","2/202",0.501404139076062,0.713147383669941,0,0,1.19719512195122,0.826475078431648,"CXCL10;STAT2","High"
"2447","Complement and coagulation cascades","1/85",0.508326744255527,0.713147383669941,0,0,1.42496392496392,0.964174538676558,"C7","High"
"2448","Taste transduction","1/86",0.512425040141738,0.713147383669941,0,0,1.40812834224599,0.941475794995349,"SCN9A","High"
"2449","Gap junction","1/88",0.520520040668959,0.713147383669941,0,0,1.37561825148032,0.898178145311125,"TUBA1C","High"
"2450","Rap1 signaling pathway","2/210",0.522121516245412,0.713147383669941,0,0,1.15068011257036,0.747775142221702,"FPR1;CALM2","High"
"2451","Human immunodeficiency virus 1 infection","2/212",0.527210836159365,0.713147383669941,0,0,1.13960511033682,0.729523615199562,"CALM2;BCL2L1","High"
"2452","Salivary secretion","1/93",0.540177817866784,0.713147383669941,0,0,1.30052700922266,0.800938533934385,"CALM2","High"
"2453","Regulation of actin cytoskeleton","2/218",0.542259329137233,0.713147383669941,0,0,1.10761065943993,0.677869824144476,"MYH11;PPP1R12B","High"
"2454","Human T-cell leukemia virus 1 infection","2/219",0.544735172386382,0.713147383669941,0,0,1.10245026413398,0.66968950359362,"DLG1;BCL2L1","High"
"2455","Staphylococcus aureus infection","1/95",0.54781472260692,0.713147383669941,0,0,1.27272727272727,0.765950368444002,"FPR1","High"
"2456","Circadian entrainment","1/97",0.55532554163477,0.713147383669941,0,0,1.24608585858586,0.732948668598499,"CALM2","High"
"2457","Fc gamma R-mediated phagocytosis","1/97",0.55532554163477,0.713147383669941,0,0,1.24608585858586,0.732948668598499,"PRKCE","High"
"2458","Phosphatidylinositol signaling system","1/97",0.55532554163477,0.713147383669941,0,0,1.24608585858586,0.732948668598499,"CALM2","High"
"2459","Glycerophospholipid metabolism","1/98",0.559034316991805,0.713147383669941,0,0,1.2331771321462,0.717147277289025,"GPD1","High"
"2460","PI3K-Akt signaling pathway","3/354",0.565622573657743,0.713147383669941,0,0,1.02160348172618,0.582138528479752,"COL4A1;COL6A3;BCL2L1","High"
"2461","Melanogenesis","1/101",0.569977166021843,0.713147383669941,0,0,1.196,0.672342138365833,"CALM2","High"
"2462","Amoebiasis","1/102",0.573564461036259,0.713147383669941,0,0,1.18409840984098,0.658222484595613,"COL4A1","High"
"2463","Longevity regulating pathway","1/102",0.573564461036259,0.713147383669941,0,0,1.18409840984098,0.658222484595613,"SOD2","High"
"2464","Thermogenesis","2/232",0.576072617829056,0.713147383669941,0,0,1.03944856839873,0.57327828934391,"ATP5PD;NDUFA1","High"
"2465","Ras signaling pathway","2/232",0.576072617829056,0.713147383669941,0,0,1.03944856839873,0.57327828934391,"CALM2;BCL2L1","High"
"2466","T cell receptor signaling pathway","1/104",0.5806500555564,0.713147383669941,0,0,1.16098852603707,0.63112151011926,"DLG1","High"
"2467","NF-kappa B signaling pathway","1/104",0.5806500555564,0.713147383669941,0,0,1.16098852603707,0.63112151011926,"BCL2L1","High"
"2468","Th17 cell differentiation","1/107",0.591059606135199,0.721092719484943,0,0,1.12795883361921,0.593124079905629,"RUNX1","High"
"2469","TNF signaling pathway","1/112",0.607841131255199,0.725684075340132,0,0,1.07687687687688,0.536114245698961,"CXCL10","High"
"2470","Toxoplasmosis","1/112",0.607841131255199,0.725684075340132,0,0,1.07687687687688,0.536114245698961,"BCL2L1","High"
"2471","Serotonergic synapse","1/113",0.611114369336646,0.725684075340132,0,0,1.06720779220779,0.525569052420982,"CYP2C19","High"
"2472","Leukocyte transendothelial migration","1/114",0.614360449750827,0.725684075340132,0,0,1.05770984178064,0.515288175323542,"MMP2","High"
"2473","Salmonella infection","2/249",0.614650446326341,0.725684075340132,0,0,0.967068233435371,0.470673610801028,"TUBA1C;RPS3","High"
"2474","Neurotrophin signaling pathway","1/119",0.630191261510353,0.737028077225006,0,0,1.01263482280431,0.467565816913011,"CALM2","High"
"2475","AMPK signaling pathway","1/120",0.633279035425087,0.737028077225006,0,0,1.00407435701553,0.458705485836016,"ACACA","High"
"2476","Thyroid hormone signaling pathway","1/121",0.63634118142924,0.737028077225006,0,0,0.995656565656566,0.450057089715385,"TBC1D4","High"
"2477","Osteoclast differentiation","1/127",0.654187590191791,0.750118994360953,0,0,0.947955747955748,0.402275575709045,"STAT2","High"
"2478","Oocyte meiosis","1/129",0.659940754601713,0.750118994360953,0,0,0.933049242424242,0.387780129833115,"CALM2","High"
"2479","Purine metabolism","1/129",0.659940754601713,0.750118994360953,0,0,0.933049242424242,0.387780129833115,"FHIT","High"
"2480","FoxO signaling pathway","1/131",0.665598772065996,0.75040395128934,0,0,0.918601398601399,0.373933449381382,"SOD2","High"
"2481","Dopaminergic synapse","1/132",0.668392590492691,0.75040395128934,0,0,0.911542910016192,0.367242013583078,"CALM2","High"
"2482","Systemic lupus erythematosus","1/135",0.676635597481188,0.755026306945472,0,0,0.890999547715966,0.348044392171107,"C7","High"
"2483","Autophagy","1/137",0.682017457421584,0.756419361867576,0,0,0.877807486631016,0.335936946265966,"BCL2L1","High"
"2484","Retrograde endocannabinoid signaling","1/148",0.710064770228371,0.780056109025069,0,0,0.811667697381983,0.277914278883103,"NDUFA1","High"
"2485","Adrenergic signaling in cardiomyocytes","1/150",0.714893401098879,0.780056109025069,0,0,0.800691478543827,0.268729544719172,"CALM2","High"
"2486","Phagosome","1/152",0.719642091026814,0.780056109025069,0,0,0.790006020469597,0.259912996967592,"TUBA1C","High"
"2487","Cushing syndrome","1/155",0.726618108518869,0.780056109025069,0,0,0.774498229043684,0.247339291179239,"FH","High"
"2488","Non-alcoholic fatty liver disease","1/155",0.726618108518869,0.780056109025069,0,0,0.774498229043684,0.247339291179239,"NDUFA1","High"
"2489","Cellular senescence","1/156",0.72890488876113,0.780056109025069,0,0,0.769462365591398,0.243313251689932,"CALM2","High"
"2490","Hepatitis B","1/162",0.742231725582908,0.789700033614373,0,0,0.740560888386975,0.220756598938783,"STAT2","High"
"2491","Hepatocellular carcinoma","1/168",0.754907173233831,0.798543426021914,0,0,0.713736164035565,0.200674407220778,"BCL2L1","High"
"2492","Alcoholism","1/186",0.789334157090669,0.830161785905704,0,0,0.643701883701884,0.152277676015321,"CALM2","High"
"2493","Neutrophil extracellular trap formation","1/189",0.794584966351631,0.830908850527706,0,0,0.633333333333333,0.145625725181363,"FPR1","High"
"2494","Viral carcinogenesis","1/203",0.817419380111356,0.849930378183967,0,0,0.589018901890189,0.118747976897054,"DLG1","High"
"2495","cAMP signaling pathway","1/216",0.836355965741134,0.864707015427274,0,0,0.553037350246653,0.0988283055055328,"CALM2","High"
"2496","Human cytomegalovirus infection","1/225",0.848309114941813,0.872138022664898,0,0,0.530573593073593,0.0872847611598741,"CALM2","High"
"2497","Calcium signaling pathway","1/240",0.866332771747109,0.88569216329453,0,0,0.496893622416635,0.0712973683642623,"CALM2","High"
"2498","Herpes simplex virus 1 infection","2/498",0.921156404231821,0.936252900914432,0,0,0.475462234461054,0.0390475438447674,"STAT2;BCL2L1","High"
"2499","MicroRNAs in cancer","1/310",0.926020628773291,0.936252900914432,0,0,0.382955771305286,0.0294335085095452,"PRKCE","High"
"2500","Neuroactive ligand-receptor interaction","1/341",0.943109134715127,0.948291053037738,0,0,0.347486631016043,0.0203534288297075,"FPR1","High"
"2501","Olfactory transduction","1/440",0.975477861027467,0.975477861027467,0,0,0.26775729964796,0.00664782848007179,"CALM2","High"
"2502","Translation (GO:0006412)","103/232",2.36779718289585e-22,1.11239111652447e-18,0,0,3.93999287873605,196.191598604911,"RPL32;RPL31;RPL8;APEH;RPL9;EEF1B2;RPS14;RPS17;RPS16;RPS19;RPL36;RPL35;RPL37;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPSA;GTPBP2;TUFM;EEF1A1;RPL27;RPL26;RPL28;UBA52;RPS4Y2;MRPL18;MRPL19;MRPL14;MRPL12;GSPT2;MRPL13;GSPT1;ZC3H15;RPL41;VTA1;MRPL23;MRPL30;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;HBS1L;MRPS15;GFM2;MRPS11;RPLP1;RPLP0;MRPL37;MRPL35;MRPL32;MRPL33;MRPL41;MRPL4;RPL7A;MTG1;RACK1;RPLP2;MRPL9;MRPS26;MRPS25;MRPS22;RPL13A;MRPL48;MRPL45;MRPL46;DARS1;MRPL52;EEF1G;MRPL53;MRPS9;SARS1;EEF1D;MRPS35;MRPS33;RPL12;MRPS34;RPL11;MRPL58;MRPL54;RPS15A;RPL14;IARS2;DTD1;RPL19;ABCF1;RPL35A;RPL23A;WARS1;GARS1;RPL22L1;ABCE1;RPL26L1","Low"
"2503","Cytoplasmic Translation (GO:0002181)","60/101",1.54166157582402e-21,3.62136304161062e-18,0,0,7.16743533766102,343.473723381699,"EIF4A1;RPL32;RPL31;RPLP1;RPLP0;RPL8;RPL9;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL36;RACK1;RPL35;RPLP2;RPL37;EIF2B1;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPSA;SARS1;EEF1D;RPL27;RPL26;RPL28;UBA52;RPL12;RPL11;MRPL13;RPS15A;RPL14;ZC3H15;RPL19;RPL41;EIF2B2;VTA1;RPL35A;RPL23A;RPS26;RPS25;RPS28;EIF3M;RPS27;RPS29;RPL27A;EIF3I;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPL26L1;RPS23","Low"
"2504","Macromolecule Biosynthetic Process (GO:0009059)","85/189",4.01666050704596e-19,5.96453177788173e-16,0,0,4.01747364310816,170.174823927524,"HBS1L;MRPS15;RPL32;RPL31;MRPS11;RPLP1;RPLP0;MRPL37;RPL8;RPL9;MRPL35;MRPL32;EEF1B2;MRPL41;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL36;RPL35;RPLP2;RPL37;MRPL9;RPS13;RPS12;TGM2;RPS9;RPL21;RPS7;RPS8;RPL23;ABCC6;RPL13A;RPSA;GTPBP2;DARS1;TUFM;EEF1A1;EEF1G;MRPL52;SARS1;EEF1D;PTRH2;RPL27;RPL26;RPL28;UBA52;RPS4Y2;MRPL18;MRPS33;RPL12;MRPS34;RPL11;MRPL12;GSPT2;MRPL13;GSPT1;RPS15A;RPL14;APOE;DTD1;ABCF1;RPL19;RPL41;RPL35A;RPL23A;INHBA;MRPL23;WARS1;EXT1;MRPL30;RPS26;RPS25;RPS28;GOLPH3;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;EIF4G2;RPS24;RPS23","Low"
"2505","Gene Expression (GO:0010467)","137/381",5.07835826128712e-19,5.96453177788173e-16,0,0,2.77961833161791,117.089000433686,"ISCA1;RPL32;RPL31;CISD1;HNRNPU;RPL8;RPL9;CISD3;GLE1;CHCHD4;RPS14;RPS17;RPS16;RPS19;RPL36;RPL35;CIAO2A;RPL37;CIAO2B;RPS13;RPS12;TGM2;RPS9;RPL21;RPS7;RPS8;RPL23;RPSA;THOC2;THOC7;THAP1;THOC6;EEF1A1;DDX39B;HNRNPUL1;BOLA3;XRN2;RPL27;RPL26;RPL28;UBA52;ZCCHC8;RPS4Y2;DHX8;MRPL18;BAZ2A;MRPL12;GSPT2;MRPL13;GSPT1;ATXN1;HNRNPDL;NUP88;SMAD2;RPL41;CHTOP;RBPMS;ALYREF;MRPL23;MRPL30;RPS26;SETX;ISG20;RPS25;PPP5C;RPS28;HNRNPK;RPS27;RPS29;RPL27A;HNRNPD;MPHOSPH10;RPS20;RPS21;RSL24D1;RPS24;RPS23;HBS1L;MRPS15;MRPS11;RPLP1;RPLP0;MRPL37;MRPL35;BICD1;MRPL32;SMG5;MRPL41;RPL7A;XPO1;CASP8;CASP4;CASP1;RPLP2;MRPL9;RBM5;RBM6;NCBP1;GLRX5;ABCC6;DDX54;RPL13A;DARS1;MRPL52;SARS1;HNRNPH1;MED20;YAE1;MRPS33;RPL12;MRPS34;RPL11;DDX20;LMF2;HSPD1;LMF1;EXOSC7;EXOSC6;EXOSC5;EXOSC10;RPS15A;PABPN1;TAF1B;EXOSC8;RPL14;DTD1;EIF4E;RPL19;ABCF1;MBTPS1;RBM39;RPL35A;RPL23A;WARS1;GOLPH3;MCM3AP;POLR3A","Low"
"2506","Proton Motive Force-Driven ATP Synthesis (GO:0015986)","37/59",6.91745324891497e-15,6.49963907268051e-12,0,0,8.19075654989697,267.057395326141,"NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;ATP5MC3;NDUFB1;ATP5MGL;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO","Low"
"2507","Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)","34/52",1.38398980527441e-14,1.01093416229233e-11,0,0,9.19333333333333,293.370489988019,"NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO","Low"
"2508","Oxidative Phosphorylation (GO:0006119)","37/60",1.50628759813672e-14,1.01093416229233e-11,0,0,7.83416313627113,249.334331669063,"NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;UQCRH;NDUFV3;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP5PF;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;ATP5F1E;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;SLC25A51;UQCRC2","Low"
"2509","RNA Processing (GO:0006396)","103/291",4.00209213396024e-14,2.35022860566815e-11,0,0,2.69380161857981,83.1020937320118,"GEMIN2;RPP30;H2AB1;HNRNPU;VIRMA;CCAR2;RPS17;RPS16;RPS19;SNRPD2;MTREX;SNRPD3;CMTR1;RPS7;ZCRB1;SRRM1;PRPF6;DDX39B;HNRNPUL1;XRN2;RPP21;SBDS;SNRPG;RPL27;SRSF4;RPL26;SRSF5;SRSF9;ZCCHC8;DHX8;NOP2;PRPF8;RRP7A;ATXN1;HNRNPDL;PPARGC1A;NOP14;INTS1;RBPMS;FUS;YJU2;LSM4;SETX;ISG20;RPS25;RPS28;HNRNPK;RPS27;LSM6;SON;HNRNPD;MPHOSPH10;HNRNPC;INTS9;RPS24;INTS12;DDX47;CHD8;INTS10;TENT4A;USP39;BICD1;PPP1R9B;METTL14;BCAS2;RBM5;RBM6;WDR36;NCBP1;PRMT1;DDX54;SFPQ;HNRNPH1;FASTKD5;RP9;SNRPA1;SF3B3;RPL11;DDX20;NOL3;NOL6;MRM3;EXOSC7;EXOSC6;ARVCF;EXOSC5;EXOSC10;PABPN1;U2AF2;EXOSC8;RPL14;METTL5;RRP36;DCAF13;RBM39;SF3A1;TRMT10C;SSB;RPL35A;NUDT21;ACIN1;NRDE2;TRMT61B","Low"
"2510","Aerobic Electron Transport Chain (GO:0019646)","35/64",1.05241044291038e-11,5.49358251199221e-09,0,0,5.87185886315448,148.425048251048,"NDUFB9;COX7B;NDUFB8;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX7A2;UQCR10;COX5A;UQCRH;NDUFV3;NDUFV2;NDUFV1;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHD;SDHB;UQCRHL;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;SLC25A51;UQCRC2","Low"
"2511","Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)","35/65",1.9042547126863e-11,8.94618864020024e-09,0,0,5.67578699617535,140.103086164106,"NDUFB9;COX7B;NDUFB8;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;COX7A2;UQCR10;COX5A;UQCRH;NDUFV3;NDUFV2;NDUFV1;COA6;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHD;SDHB;UQCRHL;NDUFS8;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;UQCRC2","Low"
"2512","Cellular Respiration (GO:0045333)","40/85",1.70399043949461e-10,7.2775882588597e-08,0,0,4.32685130622667,97.3233390404588,"NDUFB9;COX7B;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ETFDH;NDUFB1;HCCS;COX7A2;UQCR10;COX5A;UQCRH;CHCHD5;ETFRF1;MFN2;NDUFV3;NDUFV2;NDUFV1;PPARGC1A;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC1;SDHB;NDUFS8;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;MTFR1;UQCRC2","Low"
"2513","rRNA Processing (GO:0006364)","47/110",2.79902794025894e-10,1.09581943861137e-07,0,0,3.63500499107231,79.9576734963387,"DDX47;NOP2;MAK16;RPL11;NAT10;RPF1;MRM3;NOL6;RRP7A;EXOSC7;RPS14;RPL7A;SART1;RPS17;EXOSC5;RPS16;EXOSC10;RPS19;RPL14;METTL5;RRP36;MTREX;RRP15;DCAF13;NOP14;WDR36;REXO1;RPS7;UTP4;RIOK3;DDX54;RPL35A;DDX52;RPS25;RPS28;NSA2;LSM6;RPS27;XRN2;SBDS;MPHOSPH10;TSR1;RPL27;RPL26;NOL11;RPS24;MPHOSPH6","Low"
"2514","Protein Metabolic Process (GO:0019538)","166/614",3.6246443259934e-10,1.30989069565515e-07,0,0,1.82750754065396,39.7265320995912,"ISCA1;RPL32;RPL31;UBE2D3;CISD1;PLOD2;UBE2L6;RPL8;APEH;RPL9;CISD3;CHCHD4;PCMT1;NPEPPS;RPS14;RPS17;RPS16;CAPNS1;RPS19;LAMP2;CAPN5;RPL36;LONP1;CAPN2;RPL35;FBXO6;RPL37;CIAO2A;CAPN1;CIAO2B;GGT1;B2M;RPS13;RPS12;CSNK1G3;RPS9;SERF1A;RPL21;RPS7;RPS8;RPL23;RPSA;FBXO11;CLPX;EEF1A1;CDC34;BOLA3;RPL27;ADAM8;KCTD11;RPL26;LAP3;RPL28;UBA52;RPS4Y2;CFH;MRPL18;HPN;MTTP;MRPL12;MRPL13;GSPT2;GSPT1;DPP3;DPP4;NLN;BAG2;UBD;ADAMTS17;ABL2;APOE;RPL41;YES1;UBE2I;AMBP;FUS;TYSND1;MRPL23;CYP4F11;MRPL30;RPS26;FAM111A;RPS25;RPS28;RPS27;BMP1;NAT8;RPS29;RPL27A;UBA3;RPS20;RSL24D1;RPS21;RPS24;RPS23;ACHE;HBS1L;MRPS15;RNPEPL1;RPLP1;MRPS11;RPLP0;CTSZ;MRPL37;PCSK6;MRPL35;MRPL32;MRPL41;UBL5;RPL7A;CASP8;CTSL;CASP6;CASP4;CASP1;RPLP2;CTSH;MRPL9;CTSF;CTSD;CTSB;PRMT6;MANBA;GLRX5;CYP3A43;RPL13A;RABGGTB;UCHL3;DARS1;MRPL52;SARS1;F9;YAE1;THOP1;RPL12;MRPS33;RPL11;MRPS34;SPG7;LMF2;MALT1;CLN6;LMF1;CLN5;HSPD1;PSMB5;RPS15A;SVBP;RPL14;D2HGDH;TBL1X;DTD1;LCMT1;RPL19;ABCF1;MBTPS1;MCRS1;RPL35A;WWP2;RPL23A;WARS1;ERP44;SPCS1;PSMC4;CAPN10;MSRB2","Low"
"2515","Chromatin Remodeling (GO:0006338)","86/262",4.27548662141944e-10,1.43473115338775e-07,0,0,2.39209976105137,51.6046557271366,"KDM5C;HDAC10;PWWP2B;CHD8;CHD7;EHMT1;CHD4;CHD1;PHF8;KAT5;ZNF83;VPS72;GATAD1;DPF3;ARID2;SKP1;PRMT6;KDM6B;PRMT5;SS18;BRD1;PRMT2;PARP2;PRMT1;USP3;SIRT7;BAZ1B;KAT2B;SFPQ;NR5A2;WAC;ASF1A;KMT2E;HDAC4;HDAC5;SMARCD1;HDAC2;SMARCD2;INO80D;HDAC3;SRCAP;HDAC1;ZBTB1;RNF8;BAZ2A;SUPT6H;HDAC6;HDAC7;CECR2;ZNHIT1;MTA1;RBBP4;TDG;MIER1;UBR5;PCGF1;BRD9;MTA2;ZBTB7A;MORC2;MTA3;BRD4;SMARCE1;NPM1;CHTOP;KDM4B;KDM4C;PHF10;CBX3;MCRS1;SMARCA5;INO80;UBE2A;NPM3;PML;SMARCA4;COPRS;MCM3AP;RAD50;CARM1;APLF;POLE3;TRIP12;HNRNPC;PKN1;ERCC6","Low"
"2516","Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)","22/34",8.9540143680248e-10,2.80439730006537e-07,0,0,8.89478311840563,185.311678591201,"NDUFB9;NDUFB8;NDUFA7;NDUFA6;NDUFB10;NDUFB6;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFA2;NDUFB1;NDUFC1;NDUFS8;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3;NDUFV3;NDUFV2;NDUFV1","Low"
"2517","Aerobic Respiration (GO:0009060)","37/81",2.31093467995773e-09,6.78548195402589e-07,0,0,4.08993229319988,81.3308139316729,"NDUFB9;NDUFA13;NDUFB8;NDUFA11;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB1;UQCRH;MFN2;DLAT;NDUFV3;NDUFV2;NDUFV1;NDUFA7;NDUFA6;IDH3G;NDUFA2;NDUFA1;NDUFC1;SDHD;ATP5F1C;SDHB;NDUFS8;SUCLA2;SDHAF2;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;SLC25A51;SUCLG2;MTFR1;UQCRC2","Low"
"2518","Chromatin Organization (GO:0006325)","98/323",3.20125136850079e-09,8.84675231130395e-07,0,0,2.133517186251,41.7310074209764,"HDAC10;PWWP2B;H2AB1;EHMT1;HNRNPU;SMC5;HMGN4;DPF3;ARID2;HMGN3;SKP1;HMGN1;NSMCE1;EID3;PSME4;RAD54L2;ASF1A;L3MBTL1;INO80D;SRCAP;ZBTB1;BAZ2A;ZNHIT1;MIER1;ZBTB7A;MORC2;CHTOP;PHF10;CBX3;SMARCA5;INO80;UBE2A;SMARCA4;H1-5;PARP10;COPRS;ANP32B;HNRNPC;EZH2;H2AX;USP36;KDM5C;CHD8;CHD7;HP1BP3;HMGB2;CHD4;CHD1;PHF8;CABIN1;ING5;CHAF1A;VPS72;GATAD1;PRMT6;KDM6B;PRMT5;SS18;BRD1;PRMT2;PRMT1;BAZ1B;KAT2B;SFPQ;NR5A2;NSMCE4A;WAC;HDAC4;SMARCD1;HDAC2;SMARCD2;HDAC3;HDAC1;RNF8;CECR2;MTA1;H3C13;RBBP4;UBN1;PCGF1;BRD9;MTA2;MTA3;BRD4;H2AZ1;SMARCE1;NPM1;KDM4B;KDM4C;MCRS1;H2BC4;NPM3;PML;CARM1;POLE3;PWWP3A;PKN1;ERCC6","Low"
"2519","Ribosome Biogenesis (GO:0042254)","58/161",6.676707008237e-09,1.74262052914986e-06,0,0,2.74597961625178,51.6920802874264,"DDX47;PAK1IP1;NAT10;PWP2;RPS14;RPS17;RPS16;XPO1;RPS19;MTREX;RPS13;EIF2A;RPS12;RPS9;WDR36;RPS7;DIMT1;RPS8;GTF3A;DDX54;XRN2;SBDS;RPL27;NAF1;RPL26;NIP7;NOP2;RPL11;SDAD1;MRM3;NOL6;RRP7A;EXOSC7;EXOSC5;EXOSC10;RPS15A;RPL14;METTL5;RRP36;DCAF13;ABCF1;NOP14;NPM1;UTP4;KRR1;UTP3;RPL35A;CUL4A;RPS25;BOP1;RPS28;EIF5;RPS27;MPHOSPH10;RSL24D1;RPS24;RPL26L1;RPS23","Low"
"2520","Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","125/455",2.00637566472692e-08,4.75021884625897e-06,0,0,1.85856754306437,32.9419031213574,"UBE3C;UBE2D3;IPP;RNF19B;KEAP1;UBE2L6;UBE2L5;PSMD8;HERC5;UXT;NUB1;PSMD6;RNF115;RNF114;CDC23;KAT5;FBXO4;PSMD1;TRIM25;SKP1;FBXW4;RNF43;FBXW11;ARMC8;FBXO11;RNF40;CDC34;RNF128;WDR81;IFI27;TBL1XR1;TRIM13;PLAA;RBCK1;KLHL18;PSMD11;TSG101;CUL5;UBR4;UBR2;UBE2J2;ANAPC11;RNF213;RNF216;RNF215;UBD;UBR5;PSMF1;XBP1;UBE2I;KLHL25;EDEM1;UBE2A;NTAN1;UBE2W;UBXN11;TOLLIP;UBE2N;UBA1;UBE2K;RNF11;USP33;TNFAIP3;PTPN23;ELOC;VPS37C;AXIN1;RAD23B;DDB1;PSMA5;PSMA6;RNF167;RNF144B;PSMA3;PSMA4;PSMA1;CHMP6;CHMP5;RNF34;VPS4B;VPS4A;RNF8;RNF6;CBL;PSMB6;PCNP;ZNRF1;PSMB4;ZNRF2;PSMB5;MTA1;PSMB2;RNF139;PSMB3;HECTD3;MVB12A;RBBP6;TBL1X;DCAF11;RNF130;DCAF13;MARCHF6;RNF20;AMFR;HUWE1;WWP2;PEX10;UBE2G2;PSMB8;PML;CHFR;PSMB9;CUL4A;RNF145;PINK1;ITCH;PSMC6;KLHL5;PSMC4;RNF149;KLHL7;NEDD4;KBTBD2;STUB1;TRIP12","Low"
"2521","protein-RNA Complex Assembly (GO:0022618)","51/138",2.02223024532097e-08,4.75021884625897e-06,0,0,2.85548431814244,50.5891301266463,"GEMIN2;PWP2;USP39;COIL;RPS14;SART1;RPS19;SNRPD2;EIF2D;SNRPD3;RBM5;EIF2S3B;PRMT5;NCBP1;RPSA;DICER1;PRPF6;DDX39B;CLNS1A;SNRPG;SNRPE;NAF1;SRSF5;SNRPC;SRSF6;SRSF9;NOP2;RPL11;DDX20;RPS27L;NOL3;RRP7A;U2AF2;EIF4B;MCTS1;PTGES3;ERAL1;LSM4;SETX;BOP1;RPS28;EIF3M;EIF5;RPS27;AGO4;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E","Low"
