Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Toxicity
Regulation of T Cell Tolerance Induction (GO:0002664),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,HLA-B;TGFBR2,Low
Regulation of Blood-Brain Barrier Permeability (GO:1905603),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,TJP1;VEGFA,Low
Regulation of Entry of Bacterium Into Host Cell (GO:2000535),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,CXCL8;EXOC2,Low
Regulation of Microtubule Binding (GO:1904526),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,GAS8;MARK2,Low
Regulation of Mitochondrial mRNA Stability (GO:0044528),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,PDE12;FASTKD5,Low
Regulation of Phospholipid Transport (GO:2001138),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,DBI;TRIAP1,Low
Regulation of Protein ADP-ribosylation (GO:0010835),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,KAT2B;ZNF83,Low
Regulation of Protein Targeting (GO:1903533),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,PINK1;HAX1,Low
Regulation of Respiratory Gaseous Exchange (GO:0043576),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,MTG1;MTG2,Low
Regulation of Respiratory System Process (GO:0044065),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,MTG1;MTG2,Low
Response to Lipoteichoic Acid (GO:0070391),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,NDUFA2;LBP,Low
Short-Chain Fatty Acid Metabolic Process (GO:0046459),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,OXSM;CRAT,Low
Stress Granule Disassembly (GO:0035617),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,KLC1;TRIM21,Low
Telomerase RNA Localization (GO:0090672),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,NOP10;WRAP53,Low
Telomerase RNA Localization to Cajal Body (GO:0090671),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,NOP10;WRAP53,Low
Tetrahydrofolate Interconversion (GO:0035999),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,SHMT1;TYMS,Low
Vascular Associated Smooth Muscle Cell Development (GO:0097084),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,NOTCH1;VEGFA,Low
Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,LIPC;APOE,Low
White Fat Cell Differentiation (GO:0050872),2/6,0.2728417934714842,0.6636692273630697,0,0,2.4308120785693346,3.157292264718262,CTBP1;PPARG,Low
DNA Integrity Checkpoint Signaling (GO:0031570),10/47,0.27343721946769933,0.6637376489153697,0,0,1.3144205033714291,1.7043870217571506,H2AX;CAMSAP3;RRAD;MAP3K20;HUS1B;FBXO6;GNB1L;TOPBP1;ERCC6;PARP9,Low
Monoatomic Anion Transport (GO:0006820),10/47,0.27343721946769933,0.6637376489153697,0,0,1.3144205033714291,1.7043870217571506,PANX1;CLIC4;PACC1;TSPO;VDAC2;LRRC8A;VDAC1;SLC4A2;CLIC1;SLC26A6,Low
Regulation of mRNA Catabolic Process (GO:0061013),10/47,0.27343721946769933,0.6637376489153697,0,0,1.3144205033714291,1.7043870217571506,FXR1;PIAS4;MOV10;PNPT1;YTHDF2;CNOT7;CAPRIN1;ZC3H12A;PUM1;ZFP36L2,Low
Stem Cell Differentiation (GO:0048863),10/47,0.27343721946769933,0.6637376489153697,0,0,1.3144205033714291,1.7043870217571506,PSMD11;ZNF281;METTL5;NELFB;FOXO4;PUM1;SMAD5;ELL3;FGFR2;LRP6,Low
Positive Regulation of Cytoskeleton Organization (GO:0051495),15/74,0.2736952442707757,0.6639588606567003,0,0,1.236619746411149,1.6023377181794949,TENM1;CARMIL1;DYNC1H1;PRKCE;BAIAP2;PYCARD;FCHSD1;CTTN;CFL2;EVL;SYNPO;NES;NCK1;ARF6;PFN2,Low
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),17/85,0.2752094705948737,0.6639588606567003,0,0,1.216063015312132,1.5689921799697204,ARFGEF2;ORM1;FZD5;NDUFA2;HSPB1;PTPN11;PPP1R9B;IFIH1;PYCARD;MAVS;OAS1;OAS2;OAS3;ADAM8;LBP;FADD;RIGI,Low
Acylglycerol Homeostasis (GO:0055090),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,OSBPL8;LIPC;ANGPTL3;APOA4;APOE;MAP4K5,Low
Cellular Response to Topologically Incorrect Protein (GO:0035967),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,PTPN1;UBE2W;BAG3;CAV1;STUB1;HSPA1A,Low
Fatty Acid Derivative Biosynthetic Process (GO:1901570),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,GGT7;FASN;MYCBP2;GGT1;SLC27A2;ACACA,Low
fatty-acyl-CoA Biosynthetic Process (GO:0046949),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,ACSL1;ELOVL5;FASN;ELOVL6;ACSL3;SLC27A2,Low
Macromolecule Methylation (GO:0043414),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,PCMT1;PRMT2;PRMT1;SNRPD3;METTL21A;LCMT1,Low
Regulation of Cytoplasmic Translation (GO:2000765),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,UNK;PKM;CNBP;HNRNPU;PAIP1;CPEB4,Low
Respiratory Tube Development (GO:0030323),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,CEBPA;RBP4;ITGA3;HECA;FGFR2;VEGFA,Low
Transposable Element Silencing (GO:0010526),6/26,0.2763301947941114,0.6639588606567003,0,0,1.4587907249779866,1.876236485081216,MOV10;APOBEC3F;UBR2;SIRT7;MORC2;MPHOSPH8,Low
ERBB Signaling Pathway (GO:0038127),12/58,0.2789493239891605,0.6639588606567003,0,0,1.2687572708794088,1.6198543145737716,CUL5;ERBB3;SRC;ERBB2;ABL2;MAPK1;CPNE3;PTPN11;GRB2;STUB1;PIK3C2A;EGFR,Low
Mesenchymal Cell Differentiation (GO:0048762),12/58,0.2789493239891605,0.6639588606567003,0,0,1.2687572708794088,1.6198543145737716,BMP2;NOTCH1;DLG5;ZFP64;SLC39A6;SNAI2;RBPJ;HIF1A;FGFR2;TGFBR2;LRP6;LIMS1,Low
Purine Ribonucleotide Metabolic Process (GO:0009150),12/58,0.2789493239891605,0.6639588606567003,0,0,1.2687572708794088,1.6198543145737716,MED12;HINT1;PTRH2;ABHD14B;AK3;AK4;HPRT1;ATP1B1;CLPX;NADK;SULT1A3;HSPA1A,Low
Sterol Metabolic Process (GO:0016125),12/58,0.2789493239891605,0.6639588606567003,0,0,1.2687572708794088,1.6198543145737716,ARV1;NSDHL;ABCA5;ANGPTL3;PRKAG2;MSMO1;APOA4;APOE;NR0B2;TSKU;CLN6;APOL2,Low
Keratinocyte Differentiation (GO:0030216),9/42,0.2815301870882228,0.6639588606567003,0,0,1.3263006089093046,1.6811067128830735,TGM1;BCR;PPP3CA;MBD4;CLIC4;OPN3;AKR1C3;ADAM9;TXNIP,Low
Regulation of Chromosome Organization (GO:0033044),9/42,0.2815301870882228,0.6639588606567003,0,0,1.3263006089093046,1.6811067128830735,CENPV;INO80D;EID3;NSMCE4A;MCRS1;NSMCE1;SMC5;INO80;SMG5,Low
Skeletal Muscle Tissue Development (GO:0007519),9/42,0.2815301870882228,0.6639588606567003,0,0,1.3263006089093046,1.6811067128830735,SKI;PPP3CA;SVIL;SELENON;PPP3CB;CAV2;CAV1;MYH14;SKIL,Low
RNA-templated DNA Biosynthetic Process (GO:0006278),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,HMBOX1;PTGES3;TNKS1BP1;NOP10;WRAP53,Low
Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,CDC23;ANAPC7;CDC16;ANAPC11;ANAPC2,Low
Antigen Processing and Presentation of Endogenous Peptide Antigen (GO:0002483),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,HLA-B;HLA-C;HLA-A;B2M;ULBP3,Low
Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,DMTN;RAP1GDS1;BCL2;PML;TMCO1,Low
Myoblast Differentiation (GO:0045445),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,ITGB1;TCF7L2;NOTCH1;EPAS1;RBPJ,Low
Negative Regulation of Amide Metabolic Process (GO:0034249),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,PRNP;RTN3;ORMDL3;PGK1;APOE,Low
Negative Regulation of Cilium Assembly (GO:1902018),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,YAP1;TCHP;LUZP1;GDI2;MARCHF7,Low
Negative Regulation of Signal Transduction by P53 Class Mediator (GO:1901797),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,PSMD10;RNF34;YJU2;MARCHF7;SNAI2,Low
Regulation of Epithelial Cell Differentiation (GO:0030856),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,KLF7;CAV1;MAFG;MAFF;NFE2L1,Low
Telomere Maintenance via Telomerase (GO:0007004),5/21,0.28195655295664696,0.6639588606567003,0,0,1.5194945715962442,1.9236836033984697,HMBOX1;PTGES3;TNKS1BP1;NOP10;WRAP53,Low
Autophagosome Organization (GO:1905037),14/69,0.28197064067468136,0.6639588606567003,0,0,1.2380539730936906,1.5673173051521716,ATG3;GABARAPL2;RAB1A;STX12;ATG14;RAB33B;MAP1LC3B;ZFYVE26;ATG16L2;ATG101;ATG16L1;ULK3;ULK1;RAB7A,Low
Protein Import Into Nucleus (GO:0006606),16/80,0.28343628486998035,0.6639588606567003,0,0,1.2159994112452164,1.5330930554895452,AKIRIN2;SEC13;NPM1;PPP1R10;MMAB;RPL23;TSC2;IPO4;EIF4ENIF1;IPO8;BCL3;NUP88;KPNA2;MAP4K5;APPL2;KPNB1,Low
SRP-dependent Cotranslational Protein Targeting to Membrane (GO:0006614),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SRPRA;SRP9;SEC63,Low
Adherens Junction Assembly (GO:0034333),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,PIP5K1C;VCL;SMAD7,Low
Amino Sugar Biosynthetic Process (GO:0046349),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,GFPT1;PGM3;UAP1,Low
"Base-Excision Repair, AP Site Formation (GO:0006285)",3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,MBD4;MPG;TDG,Low
Cellular Response to L-leucine (GO:0071233),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,RPTOR;RRAGD;UBR2,Low
Cellular Response to Leucine Starvation (GO:1990253),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,RNF167;RRAGB;RRAGD,Low
Dosage Compensation by Inactivation of X Chromosome (GO:0009048),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,HNRNPK;PCGF3;HNRNPU,Low
Kinetochore Organization (GO:0051383),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,CENPH;POGZ;SUGT1,Low
Lipid Import Into Cell (GO:0140354),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SLC27A1;ACSL3;SLC27A2,Low
Macrophage Chemotaxis (GO:0048246),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,CCL2;SAA2;CKLF,Low
Negative Regulation of Extracellular Matrix Organization (GO:1903054),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,DPP4;NOTCH1;PPARG,Low
Negative Regulation of Heart Contraction (GO:0045822),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,GRK2;ZC3H12A;SRI,Low
Negative Regulation of Intracellular Transport (GO:0032387),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SNX3;INSIG1;SNX12,Low
"- Reg of Nuclear-Transcribed mRNA Cat Proc, Deadenylation-Dep Decay (GO:1900152)",3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,HNRNPU;TENT4A;PAIP1,Low
Negative Regulation of Reactive Oxygen Species Biosynthetic Process (GO:1903427),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,TRAP1;COA8;PPARA,Low
Neuron Projection Maintenance (GO:1990535),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,PRNP;KIFBP;INSR,Low
Nodal Signaling Pathway (GO:0038092),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SMAD2;SMAD3;CITED2,Low
Phosphatidylinositol-3-Phosphate Biosynthetic Process (GO:0036092),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,CLSTN1;PIK3R4;PIK3C2A,Low
Positive Regulation of Circadian Rhythm (GO:0042753),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,KAT5;FBXW11;THRAP3,Low
Positive Regulation of Execution Phase of Apoptosis (GO:1900119),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,DLC1;ZC3H12A;HSPD1,Low
Positive Regulation of Extracellular Matrix Assembly (GO:1901203),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SMAD3;PHLDB2;CLASP1,Low
Positive Regulation of Integrin-Mediated Signaling Pathway (GO:2001046),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,LAMC1;LIMS2;LIMS1,Low
Positive Regulation of Metaphase/Anaphase Transition of Cell Cycle (GO:1902101),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,CDC23;ANAPC7;CDC16,Low
Positive Regulation of Myeloid Leukocyte Mediated Immunity (GO:0002888),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,MAVS;ITGAM;RIGI,Low
Positive Regulation of Oxidoreductase Activity (GO:0051353),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,ABL2;VDAC2;COA8,Low
Positive Regulation of Protein Depolymerization (GO:1901881),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,CFL2;TRPV4;NES,Low
Positive Regulation of Spindle Checkpoint (GO:0090232),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,GEN1;DYNC1LI1;MAD1L1,Low
Positive Regulation of Triglyceride Biosynthetic Process (GO:0010867),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,SLC27A1;KAT5;PLIN5,Low
Positive Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,ITGB1;ITGA5;VEGFA,Low
Primary Alcohol Catabolic Process (GO:0034310),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,ACSS2;AKR1C3;SULT1A3,Low
Protein Localization to Endosome (GO:0036010),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,TOLLIP;ARL8B;WASHC2A,Low
Regulation of Cell Cycle Checkpoint (GO:1901976),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,ETAA1;RFWD3;CRY1,Low
Regulation of Establishment of Protein Localization to Mitochondrion (GO:1903747),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,DNAJA1;PINK1;HAX1,Low
Regulation of Keratinocyte Migration (GO:0051547),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,EPB41L4B;IQSEC1;ARF6,Low
Regulation of Smooth Muscle Cell Differentiation (GO:0051150),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,NOTCH1;FOXO4;FGFR2,Low
Response to L-leucine (GO:0043201),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,RPTOR;RRAGD;UBR2,Low
sno(s)RNA 3'-End Processing (GO:0031126),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,EXOSC6;EXOSC5;EXOSC10,Low
tRNA Transcription (GO:0009304),3/11,0.2859966843773091,0.6639588606567003,0,0,1.8232038123167156,2.2822410639539874,GTF3C2;POLR3A;GTF3C6,Low
ATP Transport (GO:0015867),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,PANX1;SLC25A17;SLC25A5;SLC25A25,Low
T Cell Homeostasis (GO:0043029),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,SIVA1;TNFSF14;FASN;FADD,Low
Epoxygenase P450 Pathway (GO:0019373),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,CYP2C9;CYP4F2;CYP2E1;CYP2C19,Low
Glycolytic Process Through Glucose-6-Phosphate (GO:0061620),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,HOOK2;PGK1;ENO1;PFKP,Low
Late Endosome to Lysosome Transport (GO:1902774),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,VPS4B;VPS4A;CHMP6;CHMP5,Low
Membrane Lipid Metabolic Process (GO:0006643),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,ARV1;GAL3ST1;AGMO;TEX2,Low
Membrane Raft Organization (GO:0031579),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,RFTN1;FLOT1;LRCH4;S100A10,Low
Mesenchyme Morphogenesis (GO:0072132),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,SMAD2;BMP2;NOTCH1;MDM4,Low
Mitotic Chromosome Condensation (GO:0007076),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,TTR;KMT5A;TENT4A;RAB33B,Low
Negative Regulation of Interleukin-8 Production (GO:0032717),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,MAPKBP1;ANXA4;BCL3;IL6R,Low
Negative Regulation of Signaling Receptor Activity (GO:2000272),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,ZFYVE28;TSG101;ZGPAT;SNX6,Low
Peptide Catabolic Process (GO:0043171),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,NPEPPS;ADAMTS13;CTSH;CPA4,Low
Phagosome Maturation (GO:0090382),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,RAB32;RAB14;MCOLN1;RAB7A,Low
Positive Regulation of ERAD Pathway (GO:1904294),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,XBP1;CAV1;SGTA;STUB1,Low
Protein O-linked Mannosylation (GO:0035269),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,POMT2;DPM1;FKRP;RXYLT1,Low
Protein Localization to Vacuole (GO:0072665),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,SH3GLB1;SZT2;RNF128;GBP1,Low
Regulation of Establishment or Maintenance of Cell Polarity (GO:0032878),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,PLEKHG3;KRIT1;RACK1;CYRIB,Low
Regulation of Stem Cell Proliferation (GO:0072091),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,YAP1;HMGB2;EIF2AK2;HNRNPU,Low
Ruffle Organization (GO:0031529),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,CARMIL1;PLEKHA1;ARFIP2;ARF6,Low
tRNA Wobble Uridine Modification (GO:0002098),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,MOCS3;ELP2;ELP4;GTPBP3,Low
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),4/16,0.28601304766750163,0.6639588606567003,0,0,1.6207098855969493,2.0286714902120635,SGTA;EMC3;GET1;GET3,Low
Cellular Response to Nitrogen Compound (GO:1901699),32/169,0.28718272267906264,0.6663436500436356,0,0,1.1364495020477248,1.4178759944206472,SRC;SHMT1;AQP9;UBR2;HSP90B1;RPTOR;MAT2A;DHX34;DDI2;CASP4;CTNNA1;SNX6;PRNP;XBP1;DMTN;TRIM41;PRMT1;RIPK2;RIOK3;RPL23;CAV1;SPIDR;SSH1;GOLPH3;PDE12;AKAP9;RRAGD;RAPGEF1;EZR;SLC26A6;CHMP5;TAF1,Low
Ceramide Metabolic Process (GO:0006672),11/53,0.28758771047340853,0.6669526684913537,0,0,1.2737255395985554,1.587351648886068,TM9SF2;ABCA2;CERS6;SGMS1;SPTLC3;ORMDL3;DEGS1;SPTSSA;CLN6;CERS2;NSMAF,Low
Protein Maturation (GO:0051604),30/158,0.2895118895719076,0.6709469602393282,0,0,1.1402832175583801,1.4134482262154542,RAP1GDS1;CISD1;ECE1;PCSK6;CISD3;LMF2;HSPD1;LMF1;CHCHD4;GCSH;ADAMTS13;DDI2;CASP4;CASP1;CIAO2A;CIAO2B;AASDHPPT;NAA50;MBTPS1;GLRX5;F12;ADAM10;TYSND1;DOHH;BMP1;BOLA3;NDUFAB1;ADAM9;OGT;YAE1,Low
Cellular Response to Glucose Stimulus (GO:0071333),8/37,0.2900268590949062,0.6709469602393282,0,0,1.341475517747734,1.6604539041763084,RPTOR;PRKAA1;XBP1;CLTRN;RACK1;GAS6;OGT;PCK2,Low
Nucleobase-Containing Compound Metabolic Process (GO:0006139),8/37,0.2900268590949062,0.6709469602393282,0,0,1.341475517747734,1.6604539041763084,GDA;OAS2;PDE12;DPYSL2;OAS3;NUDT18;TK2;NUDT15,Low
Phosphatidylinositol Phosphate Biosynthetic Process (GO:0046854),8/37,0.2900268590949062,0.6709469602393282,0,0,1.341475517747734,1.6604539041763084,PI4K2B;EFR3A;CLSTN1;PIK3R4;PIP5K1C;TTC7A;PIK3C2A;PI4K2A,Low
Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010389),8/37,0.2900268590949062,0.6709469602393282,0,0,1.341475517747734,1.6604539041763084,CDK6;RRM2B;CDK4;VPS4B;DBF4B;RAB11A;BRD4;CDC25B,Low
Positive Regulation of DNA Metabolic Process (GO:0051054),21/108,0.29094467216854,0.6727376807059126,0,0,1.174162329212752,1.4496468309572474,PDGFRB;CTC1;H2AX;TIGAR;INO80D;PPP1R10;PNKP;MCRS1;ACTL6A;CEBPG;SMARCA5;RNF8;INO80;EGFR;PML;VEGFA;SLX4;UBE2N;MAPK1;ERCC6;WRAP53,Low
Cellular Response to Lipopolysaccharide (GO:0071222),24/125,0.2959895064595558,0.6840646371509733,0,0,1.1559354814206708,1.4072720086243609,XBP1;CXCL8;TRIM41;PRKCE;CTR9;NDUFA2;HMGB2;TNFAIP3;NFKB1;PYCARD;CXCL10;PABPN1;IRAK2;ZC3H12A;CASP1;PDCD4;ADAM9;CCL2;LBP;GBP2;B2M;MYD88;GIT1;CHMP5,Low
Hexose Metabolic Process (GO:0019318),10/48,0.29676352590710525,0.6841641878055431,0,0,1.279753158977373,1.554669305649436,HOOK2;OAS1;ADPGK;BRAT1;HKDC1;PMM2;IRS2;ALDOB;FBP1;GALK1,Low
Mitophagy (GO:0000423),10/48,0.29676352590710525,0.6841641878055431,0,0,1.279753158977373,1.554669305649436,GABARAPL2;MAP1LC3B;PINK1;ULK3;ARFIP2;MFN2;ULK1;ATG14;EIF2S1;OGT,Low
Mitotic G2/M Transition Checkpoint (GO:0044818),10/48,0.29676352590710525,0.6841641878055431,0,0,1.279753158977373,1.554669305649436,ETAA1;SLC25A15;TRIM39;TAOK2;HUS1B;NAE1;TOPBP1;ZNF367;CDK5RAP3;CHFR,Low
Primary Alcohol Metabolic Process (GO:0034308),10/48,0.29676352590710525,0.6841641878055431,0,0,1.279753158977373,1.554669305649436,THTPA;RBP4;ADH1B;ADH1A;AKR1C1;AKR1C3;CYP1A1;AKR1C2;HSD17B6;AKR1C4,Low
Regulation of Exocytosis (GO:0017157),10/48,0.29676352590710525,0.6841641878055431,0,0,1.279753158977373,1.554669305649436,RAB21;FGB;FGA;SMCR8;CHMP6;RAB5A;CLASP1;TPCN2;S100A10;RAB33B,Low
Endodermal Cell Differentiation (GO:0035987),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,ITGB5;COL7A1;CTR9;LEO1;ITGA7;INHBA;ITGA5,Low
Natural Killer Cell Mediated Cytotoxicity (GO:0042267),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,VAMP7;TUBB;CEBPG;PLEKHM2;GRB2;LYST;ULBP3,Low
Negative Regulation of Cellular Response to Insulin Stimulus (GO:1900077),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,PTPN1;PID1;MAPKAP1;TSC2;BLVRB;APPL2;NCK1,Low
Nuclear Receptor-Mediated Signaling Pathway (GO:0141193),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,MBD4;SP100;RXRA;LONP1;RARA;PPARG;PPARA,Low
Purine Ribonucleoside Triphosphate Metabolic Process (GO:0009205),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,MED12;AK3;AK4;ATP1B1;NADK;CLPX;HSPA1A,Low
Pyridine Nucleotide Catabolic Process (GO:0019364),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,LDHA;PKM;HOOK2;HKDC1;PGK1;ENO1;GAPDH,Low
Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010743),7/32,0.29894462599243093,0.6868241775378383,0,0,1.3615267175572519,1.6440393180737967,NFKBIA;MAPK9;ABCA5;PLA2G2A;PPARG;PPARA;NFKB1,Low
